Country,Consumer Price Index
Afghanistan,"2,072.89"
Albania,"13,651.34"
Algeria,"11,040.56"
Angola,"6,978.43"
Antigua and Barbuda,"18,655.04"
Argentina,"20,369.64"
Armenia,"13,735.48"
Aruba,"27,169.13"
Australia,"50,844.73"
Austria,"55,406.10"
Azerbaijan,"14,499.03"
"Bahamas, The","33,807.52"
Bahrain,"49,057.48"
Bangladesh,"5,138.58"
Barbados,"14,568.19"
Belarus,"19,758.65"
Belgium,"50,114.21"
Belize,"5,695.11"
Benin,"3,443.30"
Bhutan,"12,057.57"
Bolivia,"8,342.24"
Bosnia and Herzegovina,"14,894.61"
Botswana,"16,152.66"
Brazil,"14,562.83"
Brunei Darussalam,"61,815.99"
Bulgaria,"23,741.05"
Burkina Faso,"2,202.82"
Burundi,782.525
Cabo Verde,"6,980.12"
Cambodia,"4,441.02"
Cameroon,"3,709.80"
Canada,"47,568.77"
Central African Republic,972.093
Chad,"1,617.78"
Chile,"23,454.95"
China,"17,205.65"
Colombia,"14,136.84"
Comoros,"3,013.66"
Democratic Republic of the Congo,977.515
Republic of Congo,"4,232.97"
Costa Rica,"19,309.33"
Côte d'Ivoire,"5,360.11"
Croatia,"27,681.32"
Cyprus,"39,078.53"
Czech Republic,"40,293.28"
Denmark,"57,781.37"
Djibouti,"5,073.56"
Dominica,"12,082.62"
Dominican Republic,"18,782.72"
Ecuador,"10,617.16"
Egypt,"12,718.99"
El Salvador,"8,401.06"
Equatorial Guinea,"17,782.45"
Eritrea,"1,824.29"
Estonia,"37,032.82"
Eswatini,"8,955.16"
Ethiopia,"2,771.98"
Fiji,"11,175.27"
Finland,"49,333.93"
France,"45,454.19"
Gabon,"15,853.69"
Gambia,"2,238.94"
Georgia,"15,142.40"
Germany,"53,571.19"
Ghana,"5,706.51"
Greece,"29,045.10"
Grenada,"16,454.36"
Guatemala,"8,266.74"
Guinea,"2,515.63"
Guinea-Bissau,"2,340.17"
Guyana,"17,359.51"
Haiti,"1,728.07"
Honduras,"5,537.87"
Hong Kong SAR,"58,165.20"
Hungary,"32,433.84"
Iceland,"54,482.29"
India,"6,283.57"
Indonesia,"12,345.13"
Islamic Republic of Iran,"11,963.33"
Iraq,"9,952.06"
Ireland,"89,382.79"
Israel,"39,125.81"
Italy,"40,065.50"
Jamaica,"10,221.32"
Japan,"41,636.63"
Jordan,"10,006.95"
Kazakhstan,"26,589.16"
Kenya,"4,993.31"
Kiribati,"2,125.56"
"Korea, South","44,292.19"
Kosovo,"11,016.75"
Kuwait,"41,734.72"
Kyrgyz Republic,"4,824.28"
Lao P.D.R.,"8,220.89"
Latvia,"30,578.82"
Lebanon,"11,562.15"
Lesotho,"2,886.34"
Liberia,"1,535.72"
Libya,"4,746.04"
Lithuania,"38,604.76"
Luxembourg,
Macao SAR,"58,930.53"
Madagascar,"1,647.15"
Malawi,995.271
Malaysia,"27,287.38"
Maldives,"22,964.75"
Mali,"2,421.00"
Malta,"43,086.54"
Marshall Islands,"3,785.76"
Mauritania,"5,796.96"
Mauritius,"20,718.62"
Mexico,"18,804.46"
Micronesia,"3,446.52"
Moldova,"13,252.89"
Mongolia,"12,259.06"
Montenegro,"19,930.51"
Morocco,"7,608.74"
Mozambique,"1,279.13"
Myanmar,"5,178.95"
Namibia,"9,537.31"
Nauru,"9,875.05"
Nepal,"3,585.51"
Netherlands,"57,101.36"
New Zealand,"41,072.35"
Nicaragua,"5,439.50"
Niger,"1,252.63"
Nigeria,"5,065.54"
North Macedonia,"16,609.32"
Norway,"64,856.46"
Oman,"29,908.06"
Pakistan,"5,160.19"
Palau,"14,158.70"
Panama,"30,034.14"
Papua New Guinea,"3,860.87"
Paraguay,"12,502.68"
Peru,"11,516.13"
Philippines,"8,573.70"
Poland,"33,738.71"
Portugal,"33,131.18"
Puerto Rico,"34,998.32"
Qatar,"91,897.10"
Romania,"30,141.00"
Russia,"27,393.84"
Rwanda,"2,392.56"
Samoa,"5,546.99"
San Marino,"56,689.55"
São Tomé and Príncipe,"3,836.83"
Saudi Arabia,"46,272.87"
Senegal,"3,462.82"
Serbia,"18,840.30"
Seychelles,"26,387.98"
Sierra Leone,"1,710.85"
Singapore,"95,603.31"
Slovak Republic,"32,184.30"
Slovenia,"38,506.47"
Solomon Islands,"2,442.09"
Somalia,
South Africa,"11,911.45"
South Sudan,883.685
Spain,"38,143.19"
Sri Lanka,"13,113.61"
St. Kitts and Nevis,"21,028.06"
St. Lucia,"13,707.87"
St. Vincent and the Grenadines,"12,267.61"
Sudan,"3,749.38"
Suriname,"14,605.04"
Sweden,"52,476.53"
Switzerland,"68,339.70"
Syria,
Taiwan Province of China,"54,019.88"
Tajikistan,"3,559.52"
Tanzania,"2,850.63"
Thailand,"18,072.85"
Timor-Leste,"4,031.49"
Togo,"1,639.57"
Tonga,"6,074.05"
Trinidad and Tobago,"25,964.39"
Tunisia,"10,381.68"
Turkey,"28,293.60"
Turkmenistan,"16,711.01"
Tuvalu,"4,480.02"
Uganda,"2,585.22"
Ukraine,"12,710.37"
United Arab Emirates,"58,466.01"
United Kingdom,"44,287.92"
United States of America,"63,051.40"
Uruguay,"21,338.18"
Uzbekistan,"7,378.01"
Vanuatu,"2,649.04"
Venezuela,
Vietnam,"10,754.53"
West Bank and Gaza,"5,316.36"
Yemen,"1,931.13"
Zambia,"3,302.30"
Zimbabwe,"2,583.01"

